date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2018-02-15,1940812799,64146,11725700000,212.35,2087290000,14600,107.9589802,LTC
2018-02-16,944142622.5,55687,12455300000,225.5,1300090000,14525,81.52802594,LTC
2018-02-17,2523532705,63949,12679700000,229.5,863401000,15275,94.10628227,LTC
2018-02-18,2004310692,75280,12738800000,230.51,1011120000,14925,114.9530957,LTC
2018-02-19,686853662,55631,11907900000,215.41,767597000,13950,91.22523762,LTC
2018-02-20,746941072,57841,12335100000,223.09,1739670000,14650,97.08622136,LTC
2018-02-21,678587623,47113,12773200000,230.95,1195820000,14750,78.77866681,LTC
2018-02-22,1048006594,43229,11774800000,212.84,974379000,14800,74.08820271,LTC
2018-02-23,613925198.6,41534,10746100000,194.19,1065680000,15075,71.1694513,LTC
2018-02-24,404042956.8,37171,11659200000,210.64,937312000,14075,56.65057283,LTC
2018-02-25,363372843.6,36437,11523500000,208.13,1028590000,14050,53.82658916,LTC
2018-02-26,545217203.1,41920,12302000000,222.14,1297080000,14425,78.24285644,LTC
2018-02-27,474395879.3,42480,12281600000,221.71,856454000,14450,70.10739479,LTC
2018-02-28,580126373.7,74744,12039200000,217.28,761322000,14475,75.48160086,LTC
