date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2018-02-16,83175.11863,943,8330000000,0.451796,53289200,0,0.01527,XLM
2018-02-17,201379.6179,882,8390980000,0.455103,104733000,0,0.01028,XLM
2018-02-18,148007.1903,380,8847360000,0.479855,74452000,0,0.0052,XLM
2018-02-19,195645.4929,424,8318460000,0.450437,57015400,0,0.00565,XLM
2018-02-20,317860.1124,499,8362940000,0.452845,104842000,0,0.0063,XLM
2018-02-21,64595.37035,424,7381920000,0.399718,132189000,0,0.00518,XLM
2018-02-22,872090.2377,467,7274300000,0.393891,69561100,0,0.00535,XLM
2018-02-23,2737769.886,488,6724760000,0.364134,56829000,0,0.00534,XLM
2018-02-24,183128.8113,679,7067390000,0.382687,34738100,0,0.00808,XLM
2018-02-25,112505.9507,317,6547760000,0.354549,42268800,0,0.00405,XLM
2018-02-26,112833.6431,423,6624170000,0.358687,42535600,0,0.00591,XLM
2018-02-27,181593.9629,783,6733960000,0.364632,38136100,0,0.01132,XLM
2018-02-28,120806.6761,762,6656080000,0.36041,38961000,0,0.01129,XLM
