date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2018-02-16,0,4028,4733640000,301.01,64320200,3665.61346,72.65430113,XMR
2018-02-17,0,3790,4655820000,296,134269000,3945.564605,63.512343,XMR
2018-02-18,0,3406,5128420000,325.96,68135100,3722.870722,59.068611,XMR
2018-02-19,0,4043,4716460000,299.7,67482400,3609.305713,67.589922,XMR
2018-02-20,0,4638,4989710000,317,71114700,3861.804093,81.072841,XMR
2018-02-21,0,4551,4761040000,302.39,169590000,3790.477255,66.162144,XMR
2018-02-22,0,4156,5049380000,320.63,103123000,3418.556176,83.252826,XMR
2018-02-23,0,3319,4416890000,280.41,89026300,3770.248562,46.089441,XMR
2018-02-24,0,2875,4500970000,285.68,62206300,3893.154912,41.524253,XMR
2018-02-25,0,2913,4302820000,273.03,33676300,3620.88707,46.56438,XMR
2018-02-26,0,4170,4449610000,282.28,53939200,3487.985003,65.588509,XMR
2018-02-27,0,4864,4652030000,295.06,64821400,3446.717748,89.801159,XMR
2018-02-28,0,3922,4755310000,301.54,47981800,3984.325216,54.480946,XMR
